,course_link,course_title,course_type,author,price,price_with_video,course_rating,course_rating_count,rubies,target_color,beginning,casual,intermediate,advanced,expert,language,instruction_word_count,free_video,trainable_variations,avg_line_depth,released_on,support_level,section
272,https://www.chessable.com/tournament-ready-the-endgame/course/33413/,Tournament Ready: The Endgame,MoveTrainer™ Tactics/Endgame course,"GM Daniel King, WFM Sarah Longson & UK Chess Challenge",€22.99,€45.98,4.8,6,7,white pieces,1.0,1.0,0.0,0.0,0.0,English,"5,609",12 minutes,124,3.03,"Apr 06, 2020",High,📚 Publisher
273,https://www.chessable.com/tournament-ready-the-opening/course/33414/,Tournament Ready: The Opening,MoveTrainer™ Tactics/Opening course,"GM Daniel King, WFM Sarah Longson & UK Chess Challenge",€22.99,€45.98,4.7,8,3,both pieces,1.0,1.0,0.0,0.0,0.0,English,"7,465",18 minutes,138,4.20,"Apr 06, 2020",High,📚 Publisher
274,https://www.chessable.com/thematic-tactics-caro-kann/course/28538/,Thematic Tactics: Caro-Kann,MoveTrainer™ Tactics course,FM Martin Voigt & IM Dirk Sebastian (2452 FIDE),€21.00,€21.00,3.6,9,3,both pieces,0.0,0.0,1.0,1.0,1.0,English,"12,730",,398,3.08,"Oct 18, 2019",High,🎓 Titled player
275,https://www.chessable.com/weekly-checkmates/course/23325/,Weekly Checkmates,MoveTrainer™ Tactics course,"Dodgy (189 ECF, 2046 FIDE)",€19.99,€19.99,4.4,26,453,both pieces,1.0,1.0,1.0,0.0,0.0,English,30,,5234,1.77,"Jun 26, 2019",High,🌎 Community
276,https://www.chessable.com/stonewall-middlegames/course/26301/,Stonewall Middlegames,MoveTrainer™ Strategy/Opening course,"FM leopslr (2600 Online Rating, 2346 FIDE)",€22.99,€22.99,3.8,5,8,both pieces,0.0,1.0,1.0,1.0,0.0,English,"21,460",,266,9.71,"May 15, 2020",Medium,🎓 Titled player
277,https://www.chessable.com/killer-dutch-middlegames/course/25237/,Killer Dutch Middlegames,MoveTrainer™ Strategy course,"FM leopslr (2600 Online Rating, 2346 FIDE)",€21.00,€21.00,4.2,5,1,both pieces,0.0,1.0,1.0,1.0,1.0,English,"14,232",,284,5.48,"Nov 11, 2019",High,🎓 Titled player
278,https://www.chessable.com/my-first-chess-opening-repertoire-for-black/course/9014/,My First Chess Opening Repertoire for Black,MoveTrainer™ Opening course,Vincent Moret & New in Chess,€24.95,€124.94,4.3,52,119,black pieces,1.0,1.0,1.0,0.0,0.0,English,"77,626",1 hour and 6 minutes,282,13.34,"Feb 19, 2018",Community,📚 Publisher
279,https://www.chessable.com/my-first-chess-opening-repertoire-for-white/course/7543/,My First Chess Opening Repertoire for White,MoveTrainer™ Opening course,"Vincent Moret, IM Lorin D'Costa, Nick Murphy & New in Chess",€24.95,€124.94,4.7,104,557,white pieces,1.0,1.0,0.0,0.0,0.0,English,"52,633",1 hour and 20 minutes,191,13.54,"Oct 25, 2017",Community,📚 Publisher
280,https://www.chessable.com/back-to-basics-tactics/course/23488/,Back to Basics: Tactics,MoveTrainer™ Tactics course,CM Dan Heisman Russell Enterprises,€22.99,€22.99,4.4,45,21,both pieces,1.0,1.0,1.0,0.0,0.0,English,"36,755",,604,2.43,"May 17, 2019",Community,📚 Publisher
281,https://www.chessable.com/improve-your-chess-tactics-700-practical-lessons-exercises/course/8527/,Improve Your Chess Tactics: 700 Practical Lessons & Exercises,MoveTrainer™ Tactics course,Yakov Neishtadt & New in Chess,€24.50,€56.00,4.7,194,336,both pieces,0.0,1.0,1.0,1.0,0.0,English,"49,915",1 hour and 18 minutes,730,3.55,"Feb 05, 2018",Community,📚 Publisher
282,https://www.chessable.com/the-power-of-pawns-chess-structures-fundamentals-for-post-beginners/course/21159/,The Power of Pawns: Chess Structures Fundamentals for Post-Beginners,MoveTrainer™ Strategy course,GM Jörg Hickl & New in Chess,€25.50,€25.50,4.5,26,25,both pieces,0.0,1.0,1.0,1.0,0.0,English,"69,529",,248,16.98,"Apr 23, 2019",Community,📚 Publisher
