,course_link,course_title,course_type,author,price,price_with_video,course_rating,course_rating_count,rubies,target_color,beginning,casual,intermediate,advanced,expert,language,instruction_word_count,free_video,trainable_variations,avg_line_depth,released_on,support_level,section
132,crush-the-qgd/course/4895/,Crush the QGD!,Opening course,"GermanMC (2044 USCF, 1850 FIDE)",5.25,5.25,4,9,36,white pieces,0,0,1,1,0,English,"7,619",,28,15.56,"Mar 16, 2017",High,Community
133,150-super-gm-tactics/course/11301/,150 Super GM Tactics,Tactics course,DM_CaptainObvious (2611 Online Rating),5.25,5.25,4,10,6,both pieces,1,1,1,1,0,English,"6,413",,151,4.48,"Aug 31, 2018",High,Community
134,basic-overview-jobava-london-system-/course/25727/,Basic Overview: Jobava London System,Opening course,MikeWilliams,5.25,5.25,4,18,31,white pieces,1,1,1,1,0,English,"14,252",,53,16.03,"Nov 30, 2019",Unspecified,Community
135,moves-ahead-2-calculation-fundamentals-/course/36224/,Moves Ahead 2: Calculation Fundamentals,Tactics course,AlanB,8.99,5.99,4,19,30,both pieces,1,1,1,0,0,No language,"18,704",,100,2.85,"Apr 29, 2020",High,Community
136,the-fiery-icelandic-gambit/course/15025/,The Fiery Icelandic Gambit,Opening course,IndrekR (2200 Online Rating),4.99,4.99,4,26,80,black pieces,0,1,1,1,0,No language,"6,651",,67,13.67,"Jan 16, 2019",Unspecified,Community
137,evans-gambit-masters-guide/course/13769/,Evans Gambit - Master's Guide,Opening course,NM Han Schut,5.25,5.25,4,10,21,white pieces,0,0,1,1,0,English,"1,282",,37,9.27,"Sep 21, 2018",Medium,Titled player
138,extensive-and-detailed-sicilian-repertoire-for-white-/course/6094/,Extensive and Detailed Sicilian Repertoire for White.,Opening course,"Evilgenius0070 (2230 Online Rating, 2050 USCF, 2012 FIDE)",5.25,5.25,4,3,4,white pieces,0,0,0,1,0,English,"16,313",,377,14.98,"Aug 31, 2017",High,Community
139,100-chess-tactics-100-chess-threats-for-the-club-player/course/10733/,"100 Chess Tactics, 100 Chess Threats - For the Club Player",Tactics course,Benedictine (135 ECF),4.99,4.99,4,21,14,both pieces,1,1,1,0,0,English,"6,758",,200,2.02,"Apr 11, 2018",High,Community
140,a-masters-guide-to-neutralizing-the-english-with-1e5/course/4069/,A Master's Guide to Neutralizing the English with 1...e5,Opening course,FM Daniel Barrish,6.5,6.5,4,38,29,black pieces,0,1,1,1,0,English,"10,360",,72,12.78,"Jan 01, 2017",Medium,Titled player
141,reversing-mate-sacrifices/course/18411/,Reversing Mate - Sacrifices,Tactics course,AlanB,10.99,7.99,4,16,20,both pieces,1,1,1,0,0,English,"41,973",,2165,2.35,"Jul 31, 2019",High,Community
142,fighting-the-caro-kann/course/7181/,Fighting the Caro-Kann,Opening course,"NM mn79 (2215 USCF, 2115 FIDE)",7.5,7.5,4,18,5,white pieces,0,1,1,1,0,English,"14,571",,84,11.48,"Dec 12, 2017",High,Community
143,fighting-the-french/course/5170/,Fighting the French,Opening course,"NM mn79 (2215 USCF, 2115 FIDE)",7.5,32.0,5,36,120,white pieces,0,1,1,1,0,English,"15,126",40 minutes,132,12.97,"Apr 06, 2017",High,Community
144,the-open-sicilian-masterclass-edition/course/3032/,The Open Sicilian: Masterclass Edition,Opening course,"GermanMC (2044 USCF, 1850 FIDE)",7.5,7.5,4,16,106,white pieces,0,0,1,0,0,English,"9,094",,185,14.77,"Sep 19, 2016",Unspecified,Community
145,full-white-repertoire/course/2037/,Full White Repertoire,Opening course,Tachyon (2122 Online Rating),7.5,7.5,4,17,14,white pieces,0,0,1,0,0,English,"3,783",,301,14.51,"Jun 04, 2016",Unspecified,Community
146,full-black-repertoire/course/2043/,Full Black repertoire,Opening course,Tachyon (2122 Online Rating),7.5,7.5,4,12,14,black pieces,0,0,1,0,0,English,"4,492",,356,14.03,"Jun 16, 2016",Unspecified,Community
147,beating-the-blackmar-diemer-gambit/course/28820/,Beating the Blackmar-Diemer Gambit,Opening course,IndrekR (2200 Online Rating),7.99,7.99,4,5,10,black pieces,0,1,1,1,1,No language,"4,970",,44,12.02,"Feb 26, 2020",Medium,Community
148,dragon-fire-tactics-for-black-in-the-sicilian-dragon/course/21420/,Dragon Fire: Tactics for Black in the Sicilian Dragon,Tactics course,NM Han Schut,8.99,8.99,4,24,31,black pieces,1,1,1,0,0,English,169,,108,3.35,"Apr 12, 2019",High,Titled player
149,tactics-training-bobby-fischer/course/9993/,Tactics Training - Bobby Fischer,Tactics course,New in Chess,8.5,8.5,4,30,24,both pieces,0,1,1,1,0,English,"2,101",,100,4.17,"Feb 09, 2018",Community,Publisher
150,tactics-training-fabiano-caruana/course/10892/,Tactics Training - Fabiano Caruana,Tactics course,New in Chess,8.5,8.5,4,13,2,both pieces,0,1,1,1,0,English,"1,277",,100,3.16,"Mar 28, 2018",Community,Publisher
151,tactics-training-garry-kasparov/course/9628/,Tactics Training - Garry Kasparov,Tactics course,New in Chess,8.5,8.5,4,19,29,both pieces,0,1,1,1,0,English,"1,662",,100,3.68,"Jan 23, 2018",Community,Publisher
152,tactics-training-judit-polgar/course/9393/,Tactics Training - Judit Polgar,Tactics course,New in Chess,8.5,8.5,4,22,177,both pieces,0,1,1,1,0,English,"1,424",,100,3.7,"Jan 08, 2018",Community,Publisher
153,tactics-training-magnus-carlsen/course/9183/,Tactics Training - Magnus Carlsen,Tactics course,New in Chess,8.5,8.5,4,32,136,both pieces,0,1,1,1,0,English,"1,382",,100,3.97,"Dec 27, 2017",Community,Publisher
154,kingscrushers-tactic-snacks-1/course/24093/,Kingscrusher's Tactic Snacks 1,Tactics course,"CM Kingscrusher (2535 Online Rating, 210 ECF, 2170 FIDE)",8.5,8.5,4,29,166,both pieces,1,1,1,0,0,English,"2,775",,250,23.99,"Jun 13, 2019",High,Titled player
